Marathi,Urdu,Hindi,English,History,Science,Geography,Drawing,Sports,Environmental Studies,Math,Computer,Interest,Recommended Career
39,46,54,35,71,64,74,53,28,20,63,67,Geography,Archaeologist
54,56,69,54,72,27,22,27,47,79,65,25,Environmental Studies,Environmental Scientist
59,68,22,77,60,36,74,71,55,79,76,53,Environmental Studies,Environmental Scientist
31,61,40,25,26,61,78,22,38,76,24,60,Geography,Geotechnical Engineer
52,25,22,21,59,35,44,53,62,45,24,76,Computer,Software Developer
68,27,60,51,60,60,80,51,65,50,29,57,Geography,Cartographer
35,33,31,31,77,42,45,63,33,37,57,54,History,Genealogist
53,46,79,43,50,51,64,26,30,64,50,41,Hindi,Literature and Education
49,55,64,35,23,47,49,37,68,30,21,47,Sports,Professional Athlete
37,42,67,66,75,23,66,52,77,72,72,65,Sports,Sports Nutritionist/Dietitian
20,39,77,28,50,21,64,20,49,44,74,47,Hindi,Media and Journalism
63,41,57,30,55,38,59,32,23,49,73,61,Math,Mathematics and Actuarial Science
48,23,32,43,72,32,28,55,45,68,33,21,History,Documentary Filmmaker
61,78,59,77,69,45,56,69,43,20,42,47,Urdu,Literature and Education
78,68,27,69,55,74,72,34,25,63,74,35,Marathi,Entertainment and Arts
77,71,54,73,50,55,53,24,52,50,66,30,Marathi,Government and Administrative Services
72,40,57,59,23,80,29,20,58,26,49,31,Science,Research and Development
39,64,24,40,60,41,38,70,34,64,32,39,Drawing,Product Designer
20,39,46,35,33,24,77,39,55,52,40,76,Geography,Disaster Management Specialist
66,69,22,23,50,22,25,61,61,80,52,21,Environmental Studies,Environmental Scientist
68,79,79,51,58,57,35,44,56,22,34,42,Urdu,Entertainment and Arts
23,68,41,46,22,47,43,30,64,50,33,68,Urdu,Government and Administrative Services
46,49,51,52,35,33,56,36,28,36,23,69,Computer,Artificial Intelligence (AI) / Machine Learning Engineer
49,28,70,29,26,72,66,64,64,74,27,20,Environmental Studies,Environmental Scientist
46,41,43,49,41,40,32,61,28,27,28,71,Computer,Software Developer
60,66,30,41,40,50,57,48,27,70,73,62,Math,Finance and Investment
70,62,50,75,31,32,30,67,37,51,27,25,English,Government and Administrative Services
73,72,27,48,55,51,21,79,44,44,78,67,Drawing,Storyboard Artist
45,61,30,28,23,28,48,27,74,68,79,26,Math,Engineering
37,20,63,72,46,79,60,38,66,40,62,28,Science,Interdisciplinary Fields
26,41,66,28,43,29,34,55,28,28,37,75,Computer,Software Developer
56,25,23,56,37,58,68,52,70,72,70,79,Computer,Artificial Intelligence (AI) / Machine Learning Engineer
39,49,41,73,56,30,76,44,44,54,35,66,Geography,Cartographer
23,59,61,48,29,69,66,47,43,53,31,46,Science,Agriculture and Food Sciences
66,53,62,36,54,58,71,34,56,29,78,68,Math,Finance and Investment
