Marathi,Urdu,Hindi,English,History,Science,Geography,Drawing,Sports,Environmental Studies,Math,Computer,Interest,Recommended Career
88,53,53,86,77,49,89,71,61,39,82,65,Geography,Archaeologist
54,82,79,75,79,89,44,77,58,87,52,84,Science,Interdisciplinary Fields
51,35,58,61,48,41,53,82,43,46,75,48,Drawing,Graphic Designer
58,37,47,55,50,72,84,78,83,65,51,85,Computer,Artificial Intelligence (AI) / Machine Learning Engineer
39,58,45,68,43,55,79,67,37,64,40,41,Geography,Archaeologist
86,30,76,36,57,77,51,53,68,49,60,70,Marathi,Government and Administrative Services
71,50,52,88,31,72,46,34,36,51,39,42,English,Literature and Education
37,55,78,85,51,56,71,72,52,72,88,77,Math,Research and Development (R&D)
56,38,38,43,72,49,82,72,85,46,38,36,Sports,Fitness Trainer
86,46,50,62,76,49,84,53,50,43,44,48,Marathi,Entertainment and Arts
72,81,89,68,59,89,34,53,81,63,70,84,Hindi,Entertainment and Arts
77,70,78,71,77,50,44,41,45,82,58,87,Computer,Artificial Intelligence (AI) / Machine Learning Engineer
78,34,86,58,52,83,70,52,59,30,53,88,Computer,Artificial Intelligence (AI) / Machine Learning Engineer
50,77,75,62,66,55,87,44,72,42,40,78,Geography,Geospatial Analyst
56,43,75,85,71,37,36,76,62,76,54,85,English,Government and Administrative Services
54,84,36,71,79,78,62,41,43,76,63,84,Urdu,Entertainment and Arts
42,83,54,42,50,36,68,62,63,58,45,54,Urdu,Government and Administrative Services
72,73,59,75,78,76,38,64,31,31,44,62,History,Historian
38,75,74,40,53,38,65,73,72,69,64,35,Urdu,Entertainment and Arts
46,31,90,69,32,54,84,85,60,36,69,41,Hindi,Government and Administrative Services
90,47,52,42,35,75,44,51,63,69,44,83,Marathi,Media and Journalism
37,44,39,63,74,65,67,48,53,74,69,35,History,Documentary Filmmaker
37,43,73,69,53,77,80,70,72,73,48,36,Geography,Geospatial Analyst
35,66,43,35,79,86,40,86,65,43,40,57,Science,Interdisciplinary Fields
79,77,73,39,57,51,56,66,78,81,34,89,Computer,Artificial Intelligence (AI) / Machine Learning Engineer
37,52,70,41,33,50,66,47,57,77,72,50,Environmental Studies,Environmental Scientist
51,53,90,58,33,57,80,31,51,62,42,63,Hindi,Government and Administrative Services
42,84,74,37,43,57,76,41,49,81,43,55,Urdu,Entertainment and Arts
60,59,41,61,90,52,53,33,85,59,48,46,History,Genealogist
33,65,76,34,86,78,67,57,49,41,42,85,History,Cultural Heritage Manager
48,68,31,79,61,36,35,35,84,66,63,88,Computer,Artificial Intelligence (AI) / Machine Learning Engineer
82,51,50,87,78,76,74,57,42,78,40,43,English,Corporate and Business Communication
86,83,89,69,40,72,78,88,86,57,69,80,Hindi,Entertainment and Arts
68,47,82,88,66,34,71,33,43,50,51,90,Computer,Artificial Intelligence (AI) / Machine Learning Engineer
51,90,73,72,43,53,36,41,82,73,42,70,Urdu,Entertainment and Arts
30,46,48,77,43,72,61,30,78,53,38,75,Sports,Fitness Trainer
38,86,85,79,49,50,46,83,55,74,86,71,Urdu,Government and Administrative Services
44,44,53,65,47,57,48,56,83,36,89,75,Math,Engineering
75,59,85,52,30,57,36,52,71,42,33,90,Computer,Software Developer
61,48,67,64,74,77,84,68,62,80,80,50,Geography,Geologist
56,30,74,66,65,86,75,53,70,80,87,73,Math,Aviation and Aerospace
80,87,78,49,46,66,87,81,47,64,81,82,Urdu,Entertainment and Arts
80,74,43,66,30,83,80,69,73,56,65,89,Computer,Software Developer
62,69,67,86,53,60,62,50,71,42,57,31,English,Corporate and Business Communication
45,44,50,45,64,50,78,34,79,40,72,87,Computer,Artificial Intelligence (AI) / Machine Learning Engineer
86,52,89,39,33,61,35,82,50,83,45,86,Hindi,Media and Journalism
31,50,69,47,82,61,69,59,87,88,86,47,Environmental Studies,Environmental Scientist
61,76,64,46,42,59,38,87,85,72,79,40,Drawing,Set Designer/Illustrator for Theatre or Film
90,53,90,69,80,44,89,90,60,42,39,35,Marathi,Literature and Education
65,38,88,74,65,37,46,75,70,81,48,35,Hindi,Entertainment and Arts
38,66,85,34,42,79,81,37,90,60,74,83,Sports,Sports Coach
73,74,79,75,83,35,87,47,72,31,51,56,Geography,Urban and Regional Planner
43,40,62,58,54,68,73,31,82,81,87,73,Math,Research and Development (R&D)
34,73,58,53,50,76,54,31,33,88,77,40,Environmental Studies,Environmental Scientist
62,89,44,82,85,46,42,32,41,42,80,79,Urdu,Entertainment and Arts
90,47,66,57,59,85,44,36,47,65,31,85,Marathi,Literature and Education
39,52,37,55,80,49,67,42,90,49,49,44,Sports,Sports Nutritionist/Dietitian
75,55,63,74,34,80,51,70,77,53,52,40,Science,Healthcare and Medicine
65,63,84,44,52,67,61,90,83,83,32,83,Drawing,Architect
38,78,43,72,44,57,87,39,49,44,45,75,Geography,Geospatial Analyst
69,67,35,67,45,47,48,88,35,35,58,88,Drawing,Set Designer/Illustrator for Theatre or Film
31,76,51,84,43,90,66,87,48,68,47,57,Science,Research and Development
47,88,48,39,55,42,54,88,87,45,64,55,Urdu,Media and Journalism
71,65,75,37,81,34,90,68,72,43,34,65,Geography,Geotechnical Engineer
46,46,78,47,66,41,58,67,79,31,86,64,Math,Architecture
30,59,40,58,80,75,83,32,33,89,51,43,Environmental Studies,Environmental Scientist
89,38,65,40,89,51,69,54,60,42,35,67,Marathi,Government and Administrative Services
41,56,50,38,39,49,79,54,34,31,79,62,Geography,Cartographer
58,84,89,37,87,73,60,78,89,57,88,35,Hindi,Literature and Education
64,67,37,90,53,35,59,34,90,30,53,90,English,Entertainment and Arts
56,75,46,33,65,78,56,72,41,42,86,38,Math,Architecture
54,36,73,34,36,53,73,46,75,60,38,83,Computer,Software Developer
50,37,50,78,72,85,71,53,37,81,60,89,Computer,Software Developer
44,81,56,89,79,54,86,54,79,76,72,81,English,Literature and Education
84,40,73,75,79,64,61,63,78,46,50,34,Marathi,Media and Journalism
34,37,45,89,32,71,59,75,79,86,56,82,English,Government and Administrative Services
30,83,33,86,69,49,61,81,66,33,43,65,English,Government and Administrative Services
31,73,57,61,81,39,52,56,54,45,35,55,History,Documentary Filmmaker
55,31,50,84,52,67,64,50,51,78,72,81,English,Entertainment and Arts
58,74,30,40,57,65,64,36,71,75,75,38,Environmental Studies,Environmental Scientist
83,30,84,90,57,36,46,51,85,31,88,82,English,Media and Journalism
64,66,62,37,80,87,81,53,88,74,66,67,Sports,Fitness Trainer
62,64,47,51,87,43,37,88,31,46,88,73,Drawing,Fashion Designer
85,70,55,36,42,68,30,71,61,87,45,38,Environmental Studies,Environmental Scientist
51,79,30,73,64,54,54,66,34,30,62,37,Urdu,Entertainment and Arts
69,50,78,80,35,67,64,35,88,84,75,56,Sports,Professional Athlete
84,56,90,87,32,45,80,90,42,73,80,88,Hindi,Literature and Education
72,42,48,36,78,30,49,79,38,76,75,78,Drawing,Product Designer
83,85,66,79,68,88,86,77,86,71,52,71,Science,Research and Development
30,86,30,81,67,51,71,58,59,44,86,44,Urdu,Entertainment and Arts
